Season,Team,Player,Avg Points,GP,G,A,Blk
2021-2022,Mt Pearl Vikings,Jesper Bratt,4.56,50,19,33,20
2022-2023,Scotty,Evgeni Malkin,4.56,45,16,30,14
2024-2025,Mt Pearl Vikings,Macklin Celebrini,4.56,62,24,31,49
2024-2025,Pennant Pumpjacks,Martin Necas,4.56,70,24,49,21
2021-2022,Steel Valley Fishers,Patrik Laine,4.55,55,26,30,13
2021-2022,Maplewood HC,Drake Batherson,4.55,38,14,25,12
2023-2024,Les Rois de Lyon,Anze Kopitar,4.55,78,26,44,64
2023-2024,Mt Pearl Vikings,Brady Tkachuk,4.55,78,37,36,34
2025-2026,Bowness Ice Beavers,Dylan Guenther,4.55,77,40,32,28
2025-2026,Southside Hellbats,Ryan O'Reilly,4.55,67,20,41,58
2019-2020,Minnesota Frozen Pines,Oliver Bjorkstrand,4.54,13,9,4,1
2020-2021,Minnesota Frozen Pines,Sam Reinhart,4.54,26,14,7,17
2022-2023,Les Rois de Lyon,Dawson Mercer,4.54,28,14,9,22
2023-2024,Cantuar Slough Sharks,Adrian Kempe,4.54,72,27,43,30
2025-2026,Les  Rois de Lyon,Jack Hughes,4.54,35,11,24,16
2024-2025,Cantuar Slough Sharks,Gabriel Vilardi,4.53,53,22,24,38
2020-2021,Scotty,Patrick Kane,4.52,52,14,44,14
2021-2022,Slick City Jackals,John Tavares,4.51,77,26,49,44
2019-2020,Steel Valley Fishers,Max Pacioretty,4.51,70,32,34,35
2021-2022,Scotty,Blake Wheeler,4.51,37,12,24,22
2022-2023,Cachco Eagles,Kyle Connor,4.51,77,30,47,22
2025-2026,Potomac Poutine,Lucas Raymond,4.51,53,18,36,21
2020-2021,Les Rois de Lyon,Nicklas Backstrom,4.5,52,15,37,26
2022-2023,Cantuar Slough Sharks,Viktor Arvidsson,4.5,28,13,9,23
2022-2023,Maplewood HC,Sidney Crosby,4.5,24,7,18,13
2022-2023,Steel Valley Fishers,Carter Verhaeghe,4.5,48,26,18,23
